School Name,Starting Median Salary,State,Party,Ivy League,Engineering
University of Arkansas,44100,1,0,0,0
University of California at Los Angeles (UCLA),52600,1,0,0,0
"University of California, Berkeley",59900,1,0,0,0
"University of California, Davis",52300,1,0,0,0
"University of California, Irvine (UCI)",48300,1,0,0,0
"University of California, Riverside (UCR)",46800,1,0,0,0
"University of California, San Diego (UCSD)",51100,1,0,0,0
"University of California, Santa Barbara (UCSB)",50500,0,1,0,0
"University of California, Santa Cruz (UCSC)",44700,1,0,0,0
University of Central Florida (UCF),42600,1,0,0,0
University of Colorado - Boulder (UCB),47100,1,0,0,0
University of Colorado - Denver,46100,1,0,0,0
University of Connecticut (UConn),48000,1,0,0,0
University of Delaware,45900,1,0,0,0
University of Florida (UF),47100,0,1,0,0
University of Georgia (UGA),44100,0,1,0,0
University of Hawaii,43800,1,0,0,0
University of Houston (UH),46000,1,0,0,0
University of Idaho,44900,1,0,0,0
University of Illinois at Chicago,47500,1,0,0,0
University of Illinois at Urbana-Champaign (UIUC),52900,0,1,0,0
University of Iowa (UI),44700,0,1,0,0
University of Kansas,42400,1,0,0,0
University of Kentucky (UK),42800,1,0,0,0
University of Louisiana (UL) at Lafayette,41100,1,0,0,0
University Of Maine,41200,1,0,0,0
University of Maryland Baltimore County (UMBC),47000,1,0,0,0
"University of Maryland, College Park",52000,0,1,0,0
University of Massachusetts (UMass) - Amherst,46600,1,0,0,0
University of Massachusetts (UMass) - Boston,45600,1,0,0,0
University of Massachusetts (UMass) - Dartmouth,43200,1,0,0,0
University of Massachusetts (UMass) - Lowell,45400,1,0,0,0
University of Memphis (U of M),41400,1,0,0,0
University of Michigan,52700,1,0,0,0
University of Minnesota,46200,1,0,0,0
University of Mississippi,41400,0,1,0,0
University of Missouri - Columbia,41700,1,0,0,0
University of Missouri - Kansas City (UMKC),38900,1,0,0,0
University of Missouri - Rolla (UMR),57100,1,0,0,0
University of Missouri - St. Louis (UMSL),41400,1,0,0,0
University of Montana,37300,1,0,0,0
University of Nebraska at Omaha,41500,1,0,0,0
University of Nebraska,45700,1,0,0,0
"University of Nevada, Las Vegas (UNLV)",45200,1,0,0,0
"University of Nevada, Reno (UNR)",46500,1,0,0,0
University of New Hampshire (UNH),41800,0,1,0,0
University of New Mexico (UNM),41600,1,0,0,0
University of North Carolina at Chapel Hill (UNCH),42900,1,0,0,0
University of North Carolina at Charlotte (UNCC),43100,1,0,0,0
University of North Carolina at Wilmington (UNCW),37500,1,0,0,0
University of North Dakota,44000,1,0,0,0
University of Oklahoma,44700,1,0,0,0
University of Oregon,42200,1,0,0,0
University of Pennsylvania,60900,0,0,1,0
University of Puget Sound,46600,0,0,0,0
University of Rhode Island (URI),43900,1,0,0,0
University of Richmond,48600,0,0,0,0
University of South Carolina,40000,1,0,0,0
University of South Florida (USF),41100,1,0,0,0
University of Southern Maine,39400,1,0,0,0
University of Tennessee,43800,0,1,0,0
University of Texas (UT) - Austin,49700,0,1,0,0
University of Texas at Arlington (UTA),45400,1,0,0,0
University of Texas at El Paso (UTEP),43400,1,0,0,0
University of Texas at San Antonio (UTSA),42500,1,0,0,0
University of Toledo,43100,1,0,0,0
University of Utah,45400,1,0,0,0
University of Vermont (UVM),44800,1,0,0,0
University of Virginia (UVA),52700,1,0,0,0
University of Washington (UW),48800,1,0,0,0
University of Wisconsin (UW) - Eau Claire,41400,1,0,0,0
University of Wisconsin (UW) - Green Bay,35800,1,0,0,0
University of Wisconsin (UW) - La Crosse,42200,1,0,0,0
University of Wisconsin (UW) - Madison,48900,1,0,0,0
University of Wisconsin (UW) - Milwaukee,42300,1,0,0,0
University of Wisconsin (UW) - Oshkosh,39300,1,0,0,0
University of Wisconsin (UW) - Parkside,40700,1,0,0,0
University of Wisconsin (UW) - Platteville,45800,1,0,0,0
University of Wisconsin (UW) - Stevens Point,39800,1,0,0,0
University of Wisconsin (UW) - Stout,43600,1,0,0,0
University of Wisconsin (UW) - Whitewater,40800,1,0,0,0
University of Wyoming (UW),44500,1,0,0,0
Ursinus College,42100,0,0,0,0
Utah State University,43800,1,0,0,0
Utah Valley State College,42400,1,0,0,0
Vassar College,46000,0,0,0,0
Virginia Commonwealth University (VCU),42000,1,0,0,0
Virginia Polytechnic Institute and State University (Virginia Tech),53500,0,0,0,1
Washington and Lee University,53600,0,0,0,0
Washington State University (WSU),45300,1,0,0,0
Wayne State University,42800,1,0,0,0
Wellesley College,42800,0,0,0,0
Wentworth Institute of Technology,53000,0,0,0,1
"Wesleyan University (Middletown, Connecticut)",46500,0,0,0,0
West Virginia University (WVU),43100,0,1,0,0
Western Carolina University,36900,1,0,0,0
Western Michigan University (WMU),42300,1,0,0,0
Western Washington University,42700,1,0,0,0
Whitman College,43500,0,0,0,0
Williams College,51700,0,0,0,0
Wittenberg University,39200,0,0,0,0
Worcester Polytechnic Institute (WPI),61000,0,0,0,1
Yale University,59100,0,0,1,0
